trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
floriade_2025_test_1_2,10:00,10:00,temp_floriade_mooseheads,4,F1,0,0,0
floriade_2025_test_1_3,10:00,10:00,temp_floriade_mooseheads,0,F1,0,0,0
floriade_2025_test_1_3,10:05,10:05,3052,1,F1,0,0,0
floriade_2025_test_1_3,10:10,10:10,3356,2,F1,0,0,0
floriade_2025_test_1_3,10:15,10:15,temp_floriade_regatta,3,F1,0,0,0
floriade_2025_test_1_3,10:20,10:20,temp_floriade_mooseheads,4,F1,0,0,0
floriade_2025_test_1_4,10:20,10:20,temp_floriade_mooseheads,0,F1,0,0,0
floriade_2025_test_1_4,10:25,10:25,3052,1,F1,0,0,0
floriade_2025_test_1_4,10:30,10:30,3356,2,F1,0,0,0
floriade_2025_test_1_4,10:35,10:35,temp_floriade_regatta,3,F1,0,0,0
floriade_2025_test_1_4,10:40,10:40,temp_floriade_mooseheads,4,F1,0,0,0
floriade_2025_test_1_5,10:40,10:40,temp_floriade_mooseheads,0,F1,0,0,0
floriade_2025_test_1_5,10:45,10:45,3052,1,F1,0,0,0
floriade_2025_test_1_5,10:50,10:50,3356,2,F1,0,0,0
floriade_2025_test_1_5,10:55,10:55,temp_floriade_regatta,3,F1,0,0,0
floriade_2025_test_1_5,11:00,11:00,temp_floriade_mooseheads,4,F1,0,0,0
floriade_2025_test_1_6,11:00,11:00,temp_floriade_mooseheads,0,F1,0,0,0
floriade_2025_test_1_6,11:05,11:05,3052,1,F1,0,0,0
floriade_2025_test_1_6,11:10,11:10,3356,2,F1,0,0,0
floriade_2025_test_1_6,11:15,11:15,temp_floriade_regatta,3,F1,0,0,0
floriade_2025_test_1_6,11:20,11:20,temp_floriade_mooseheads,4,F1,0,0,0
floriade_2025_test_1_7,11:20,11:20,temp_floriade_mooseheads,0,F1,0,0,0
floriade_2025_test_1_7,11:25,11:25,3052,1,F1,0,0,0
floriade_2025_test_1_7,11:30,11:30,3356,2,F1,0,0,0
floriade_2025_test_1_7,11:35,11:35,temp_floriade_regatta,3,F1,0,0,0
floriade_2025_test_1_7,11:40,11:40,temp_floriade_mooseheads,4,F1,0,0,0
floriade_2025_test_1_8,11:40,11:40,temp_floriade_mooseheads,0,F1,0,0,0
floriade_2025_test_1_8,11:45,11:45,3052,1,F1,0,0,0
floriade_2025_test_1_8,11:50,11:50,3356,2,F1,0,0,0
floriade_2025_test_1_8,11:55,11:55,temp_floriade_regatta,3,F1,0,0,0
floriade_2025_test_1_8,12:00,12:00,temp_floriade_mooseheads,4,F1,0,0,0
floriade_2025_test_1_9,12:00,12:00,temp_floriade_mooseheads,0,F1,0,0,0
floriade_2025_test_1_9,12:05,12:05,3052,1,F1,0,0,0
floriade_2025_test_1_9,12:10,12:10,3356,2,F1,0,0,0
floriade_2025_test_1_9,12:15,12:15,temp_floriade_regatta,3,F1,0,0,0
floriade_2025_test_1_9,12:20,12:20,temp_floriade_mooseheads,4,F1,0,0,0
floriade_2025_test_1_10,12:20,12:20,temp_floriade_mooseheads,0,F1,0,0,0
floriade_2025_test_1_10,12:25,12:25,3052,1,F1,0,0,0
floriade_2025_test_1_10,12:30,12:30,3356,2,F1,0,0,0
floriade_2025_test_1_10,12:35,12:35,temp_floriade_regatta,3,F1,0,0,0
floriade_2025_test_1_10,12:40,12:40,temp_floriade_mooseheads,4,F1,0,0,0
floriade_2025_test_1_11,12:40,12:40,temp_floriade_mooseheads,0,F1,0,0,0
floriade_2025_test_1_11,12:45,12:45,3052,1,F1,0,0,0
floriade_2025_test_1_11,12:50,12:50,3356,2,F1,0,0,0
floriade_2025_test_1_11,12:55,12:55,temp_floriade_regatta,3,F1,0,0,0
floriade_2025_test_1_11,13:00,13:00,temp_floriade_mooseheads,4,F1,0,0,0
floriade_2025_test_1_12,13:00,13:00,temp_floriade_mooseheads,0,F1,0,0,0
floriade_2025_test_1_12,13:05,13:05,3052,1,F1,0,0,0
floriade_2025_test_1_12,13:10,13:10,3356,2,F1,0,0,0
floriade_2025_test_1_12,13:15,13:15,temp_floriade_regatta,3,F1,0,0,0
floriade_2025_test_1_12,13:20,13:20,temp_floriade_mooseheads,4,F1,0,0,0
floriade_2025_test_1_13,13:20,13:20,temp_floriade_mooseheads,0,F1,0,0,0
floriade_2025_test_1_13,13:25,13:25,3052,1,F1,0,0,0
floriade_2025_test_1_13,13:30,13:30,3356,2,F1,0,0,0
floriade_2025_test_1_13,13:35,13:35,temp_floriade_regatta,3,F1,0,0,0
floriade_2025_test_1_13,13:40,13:40,temp_floriade_mooseheads,4,F1,0,0,0
floriade_2025_test_1_14,13:40,13:40,temp_floriade_mooseheads,0,F1,0,0,0
floriade_2025_test_1_14,13:45,13:45,3052,1,F1,0,0,0
floriade_2025_test_1_14,13:50,13:50,3356,2,F1,0,0,0
floriade_2025_test_1_14,13:55,13:55,temp_floriade_regatta,3,F1,0,0,0
floriade_2025_test_1_14,14:00,14:00,temp_floriade_mooseheads,4,F1,0,0,0
floriade_2025_test_1_15,14:00,14:00,temp_floriade_mooseheads,0,F1,0,0,0
floriade_2025_test_1_15,14:05,14:05,3052,1,F1,0,0,0
floriade_2025_test_1_15,14:10,14:10,3356,2,F1,0,0,0
floriade_2025_test_1_15,14:15,14:15,temp_floriade_regatta,3,F1,0,0,0
floriade_2025_test_1_15,14:20,14:20,temp_floriade_mooseheads,4,F1,0,0,0
floriade_2025_test_1_16,14:20,14:20,temp_floriade_mooseheads,0,F1,0,0,0
floriade_2025_test_1_16,14:25,14:25,3052,1,F1,0,0,0
floriade_2025_test_1_16,14:30,14:30,3356,2,F1,0,0,0
floriade_2025_test_1_16,14:35,14:35,temp_floriade_regatta,3,F1,0,0,0
floriade_2025_test_1_16,14:40,14:40,temp_floriade_mooseheads,4,F1,0,0,0
floriade_2025_test_1_17,14:40,14:40,temp_floriade_mooseheads,0,F1,0,0,0
floriade_2025_test_1_17,14:45,14:45,3052,1,F1,0,0,0
floriade_2025_test_1_17,14:50,14:50,3356,2,F1,0,0,0
floriade_2025_test_1_17,14:55,14:55,temp_floriade_regatta,3,F1,0,0,0
floriade_2025_test_1_17,15:00,15:00,temp_floriade_mooseheads,4,F1,0,0,0
floriade_2025_test_1_18,15:00,15:00,temp_floriade_mooseheads,0,F1,0,0,0
floriade_2025_test_1_18,15:05,15:05,3052,1,F1,0,0,0
floriade_2025_test_1_18,15:10,15:10,3356,2,F1,0,0,0
floriade_2025_test_1_18,15:15,15:15,temp_floriade_regatta,3,F1,0,0,0
floriade_2025_test_1_18,15:20,15:20,temp_floriade_mooseheads,4,F1,0,0,0
floriade_2025_test_1_19,15:20,15:20,temp_floriade_mooseheads,0,F1,0,0,0
floriade_2025_test_1_19,15:25,15:25,3052,1,F1,0,0,0
floriade_2025_test_1_19,15:30,15:30,3356,2,F1,0,0,0
floriade_2025_test_1_19,15:35,15:35,temp_floriade_regatta,3,F1,0,0,0
floriade_2025_test_1_19,15:40,15:40,temp_floriade_mooseheads,4,F1,0,0,0
floriade_2025_test_1_20,15:40,15:40,temp_floriade_mooseheads,0,F1,0,0,0
floriade_2025_test_1_20,15:45,15:45,3052,1,F1,0,0,0
floriade_2025_test_1_20,15:50,15:50,3356,2,F1,0,0,0
floriade_2025_test_1_20,15:55,15:55,temp_floriade_regatta,3,F1,0,0,0
floriade_2025_test_1_20,16:00,16:00,temp_floriade_mooseheads,4,F1,0,0,0
floriade_2025_test_1_21,16:00,16:00,temp_floriade_mooseheads,0,F1,0,0,0
floriade_2025_test_1_21,16:05,16:05,3052,1,F1,0,0,0
floriade_2025_test_1_21,16:10,16:10,3356,2,F1,0,0,0
floriade_2025_test_1_21,16:15,16:15,temp_floriade_regatta,3,F1,0,0,0
floriade_2025_test_1_21,16:20,16:20,temp_floriade_mooseheads,4,F1,0,0,0
floriade_2025_test_1_22,16:20,16:20,temp_floriade_mooseheads,0,F1,0,0,0
floriade_2025_test_1_22,16:25,16:25,3052,1,F1,0,0,0
floriade_2025_test_1_22,16:30,16:30,3356,2,F1,0,0,0
floriade_2025_test_1_22,16:35,16:35,temp_floriade_regatta,3,F1,0,0,0
floriade_2025_test_1_22,16:40,16:40,temp_floriade_mooseheads,4,F1,0,0,0
floriade_2025_test_1_23,16:40,16:40,temp_floriade_mooseheads,0,F1,0,0,0
floriade_2025_test_1_23,16:45,16:45,3052,1,F1,0,0,0
floriade_2025_test_1_23,16:50,16:50,3356,2,F1,0,0,0
floriade_2025_test_1_23,16:55,16:55,temp_floriade_regatta,3,F1,0,0,0
floriade_2025_test_1_23,17:00,17:00,temp_floriade_mooseheads,4,F1,0,0,0
floriade_2025_test_1_24,17:00,17:00,temp_floriade_mooseheads,0,F1,0,0,0
floriade_2025_test_1_24,17:05,17:05,3052,1,F1,0,0,0
floriade_2025_test_1_24,17:10,17:10,3356,2,F1,0,0,0
floriade_2025_test_1_24,17:15,17:15,temp_floriade_regatta,3,F1,0,0,0
floriade_2025_test_1_24,17:20,17:20,temp_floriade_mooseheads,4,F1,0,0,0
floriade_2025_test_1_25,17:20,17:20,temp_floriade_mooseheads,0,F1,0,0,0
floriade_2025_test_1_25,17:25,17:25,3052,1,F1,0,0,0
floriade_2025_test_1_25,17:30,17:30,3356,2,F1,0,0,0
floriade_2025_test_1_25,17:35,17:35,temp_floriade_regatta,3,F1,0,0,0
floriade_2025_test_1_25,17:40,17:40,temp_floriade_mooseheads,4,F1,0,0,0
floriade_2025_test_2_0,18:00,18:00,temp_floriade_mooseheads,0,F1,0,0,0
floriade_2025_test_2_0,18:05,18:05,3052,1,F1,0,0,0
floriade_2025_test_2_0,18:10,18:10,3356,2,F1,0,0,0
floriade_2025_test_2_0,18:15,18:15,temp_floriade_regatta,3,F1,0,0,0
floriade_2025_test_2_0,18:20,18:20,temp_floriade_mooseheads,4,F1,0,0,0
floriade_2025_test_2_1,18:20,18:20,temp_floriade_mooseheads,0,F1,0,0,0
floriade_2025_test_2_1,18:25,18:25,3052,1,F1,0,0,0
floriade_2025_test_2_1,18:30,18:30,3356,2,F1,0,0,0
floriade_2025_test_2_1,18:35,18:35,temp_floriade_regatta,3,F1,0,0,0
floriade_2025_test_2_1,18:40,18:40,temp_floriade_mooseheads,4,F1,0,0,0
floriade_2025_test_2_2,18:40,18:40,temp_floriade_mooseheads,0,F1,0,0,0
floriade_2025_test_2_2,18:45,18:45,3052,1,F1,0,0,0
floriade_2025_test_2_2,18:50,18:50,3356,2,F1,0,0,0
floriade_2025_test_2_2,18:55,18:55,temp_floriade_regatta,3,F1,0,0,0
floriade_2025_test_2_2,19:00,19:00,temp_floriade_mooseheads,4,F1,0,0,0
floriade_2025_test_2_3,19:00,19:00,temp_floriade_mooseheads,0,F1,0,0,0
floriade_2025_test_2_3,19:05,19:05,3052,1,F1,0,0,0
floriade_2025_test_2_3,19:10,19:10,3356,2,F1,0,0,0
floriade_2025_test_2_3,19:15,19:15,temp_floriade_regatta,3,F1,0,0,0
floriade_2025_test_2_3,19:20,19:20,temp_floriade_mooseheads,4,F1,0,0,0
floriade_2025_test_2_4,19:20,19:20,temp_floriade_mooseheads,0,F1,0,0,0
floriade_2025_test_2_4,19:25,19:25,3052,1,F1,0,0,0
floriade_2025_test_2_4,19:30,19:30,3356,2,F1,0,0,0
floriade_2025_test_2_4,19:35,19:35,temp_floriade_regatta,3,F1,0,0,0
floriade_2025_test_2_4,19:40,19:40,temp_floriade_mooseheads,4,F1,0,0,0
floriade_2025_test_2_5,19:40,19:40,temp_floriade_mooseheads,0,F1,0,0,0
floriade_2025_test_2_5,19:45,19:45,3052,1,F1,0,0,0
floriade_2025_test_2_5,19:50,19:50,3356,2,F1,0,0,0
floriade_2025_test_2_5,19:55,19:55,temp_floriade_regatta,3,F1,0,0,0
floriade_2025_test_2_5,20:00,20:00,temp_floriade_mooseheads,4,F1,0,0,0
floriade_2025_test_2_6,20:00,20:00,temp_floriade_mooseheads,0,F1,0,0,0
floriade_2025_test_2_6,20:05,20:05,3052,1,F1,0,0,0
floriade_2025_test_2_6,20:10,20:10,3356,2,F1,0,0,0
floriade_2025_test_2_6,20:15,20:15,temp_floriade_regatta,3,F1,0,0,0
floriade_2025_test_2_6,20:20,20:20,temp_floriade_mooseheads,4,F1,0,0,0
floriade_2025_test_2_7,20:20,20:20,temp_floriade_mooseheads,0,F1,0,0,0
floriade_2025_test_2_7,20:25,20:25,3052,1,F1,0,0,0
floriade_2025_test_2_7,20:30,20:30,3356,2,F1,0,0,0
floriade_2025_test_2_7,20:35,20:35,temp_floriade_regatta,3,F1,0,0,0
floriade_2025_test_2_7,20:40,20:40,temp_floriade_mooseheads,4,F1,0,0,0
floriade_2025_test_2_8,20:40,20:40,temp_floriade_mooseheads,0,F1,0,0,0
floriade_2025_test_2_8,20:45,20:45,3052,1,F1,0,0,0
floriade_2025_test_2_8,20:50,20:50,3356,2,F1,0,0,0
floriade_2025_test_2_8,20:55,20:55,temp_floriade_regatta,3,F1,0,0,0
floriade_2025_test_2_8,21:00,21:00,temp_floriade_mooseheads,4,F1,0,0,0
floriade_2025_test_2_9,21:00,21:00,temp_floriade_mooseheads,0,F1,0,0,0
floriade_2025_test_2_9,21:05,21:05,3052,1,F1,0,0,0
floriade_2025_test_2_9,21:10,21:10,3356,2,F1,0,0,0
floriade_2025_test_2_9,21:15,21:15,temp_floriade_regatta,3,F1,0,0,0
floriade_2025_test_2_9,21:20,21:20,temp_floriade_mooseheads,4,F1,0,0,0
floriade_2025_test_2_10,21:20,21:20,temp_floriade_mooseheads,0,F1,0,0,0
floriade_2025_test_2_10,21:25,21:25,3052,1,F1,0,0,0
floriade_2025_test_2_10,21:30,21:30,3356,2,F1,0,0,0
floriade_2025_test_2_10,21:35,21:35,temp_floriade_regatta,3,F1,0,0,0
floriade_2025_test_2_10,21:40,21:40,temp_floriade_mooseheads,4,F1,0,0,0
floriade_2025_test_2_11,21:40,21:40,temp_floriade_mooseheads,0,F1,0,0,0
floriade_2025_test_2_11,21:45,21:45,3052,1,F1,0,0,0
floriade_2025_test_2_11,21:50,21:50,3356,2,F1,0,0,0
floriade_2025_test_2_11,21:55,21:55,temp_floriade_regatta,3,F1,0,0,0
floriade_2025_test_2_11,22:00,22:00,temp_floriade_mooseheads,4,F1,0,0,0
floriade_2025_test_2_12,22:00,22:00,temp_floriade_mooseheads,0,F1,0,0,0
floriade_2025_test_2_12,22:05,22:05,3052,1,F1,0,0,0
floriade_2025_test_2_12,22:10,22:10,3356,2,F1,0,0,0
floriade_2025_test_2_12,22:15,22:15,temp_floriade_regatta,3,F1,0,0,0
floriade_2025_test_2_12,22:20,22:20,temp_floriade_mooseheads,4,F1,0,0,0
floriade_2025_test_2_13,22:20,22:20,temp_floriade_mooseheads,0,F1,0,0,0
floriade_2025_test_2_13,22:25,22:25,3052,1,F1,0,0,0
floriade_2025_test_2_13,22:30,22:30,3356,2,F1,0,0,0
floriade_2025_test_2_13,22:35,22:35,temp_floriade_regatta,3,F1,0,0,0
floriade_2025_test_2_13,22:40,22:40,temp_floriade_mooseheads,4,F1,0,0,0
floriade_2025_test_2_14,22:40,22:40,temp_floriade_mooseheads,0,F1,0,0,0
floriade_2025_test_2_14,22:45,22:45,3052,1,F1,0,0,0
floriade_2025_test_2_14,22:50,22:50,3356,2,F1,0,0,0
floriade_2025_test_2_14,22:55,22:55,temp_floriade_regatta,3,F1,0,0,0
floriade_2025_test_2_14,23:00,23:00,temp_floriade_mooseheads,4,F1,0,0,0
floriade_2025_test_2_15,23:00,23:00,temp_floriade_mooseheads,0,F1,0,0,0
floriade_2025_test_2_15,23:05,23:05,3052,1,F1,0,0,0
floriade_2025_test_2_15,23:10,23:10,3356,2,F1,0,0,0
floriade_2025_test_2_15,23:15,23:15,temp_floriade_regatta,3,F1,0,0,0
floriade_2025_test_2_15,23:20,23:20,temp_floriade_mooseheads,4,F1,0,0,0
